Location	Notes	type	long	lat	BTN
Claiborne	Farley et al; 1991	#icon-1899-9C27B0-labelson	-76.279104	38.8406286	Yes
Miles River	"Farley et al, 1991"	#icon-1899-9C27B0-labelson	-76.2062877	38.7842913	Yes
Poplar Island	"1984, 85, 86; Farley et al, 1991"	#icon-1899-9C27B0-labelson	-76.3868755	38.7662914	Yes
"""Bar Neck"""	"1985, 86, 87; Farley et al 1991"	#icon-1899-9C27B0-labelson	-76.3236816	38.6838636	Yes
"""Castle Haven"""	"1985, 86, 87; Farley et al 1991"	#icon-1899-9C27B0-labelson	-76.1595729	38.5978584	Yes
Annisquam River	"from Farley et al 1991 reference #24, unpublished, collected 1972"	#icon-1899-9C27B0-labelson	-70.6856222	42.6536928	Yes
Harpswell Neck	1972; Reference #1 from Farley et al 1991	#icon-1899-9C27B0-labelson	-69.9700484	43.8186931	Yes
Searsport	"Collected 1975; From farley et al 1991, reference #1"	#icon-1899-9C27B0-labelson	-68.9038627	44.463934	Yes
Sandy Point Island	Collected 1976; Farley et al 1991 from reference #3	#icon-1899-9C27B0-labelson	-71.8919666	41.3292472	Yes
Quonset Point	"1976; Farley et al 1991, reference #3"	#icon-1899-9C27B0-labelson	-71.4042218	41.5901015	Yes
Bourne	"1976; Farley et al 1991, from reference #3"	#icon-1899-9C27B0-labelson	-70.5989325	41.7412773	Yes
Green Pond	"1978; Farley et al 1991, from reference #3. Also in 1982; Reinisch et al 1983"	#icon-1899-9C27B0-labelson	-70.5703704	41.554789	Yes
New Bedford	"(1983; from Farley et al 1991, reference #10)   Also sampled in (1991; Weinberg et al 1997)       (1986/1987; Leavitt et al 1990)"	#icon-1899-9C27B0-labelson	-70.9151506	41.6495563	Yes
Stonington	"1984; from Farley et al 1991, reference #27"	#icon-1899-9C27B0-labelson	-71.9058854	41.3358915	Yes
Westport	"1985; Farley et al 1991, from reference #24"	#icon-1899-9C27B0-labelson	-73.3579049	41.1414717	Yes
Swan Point	"1985; Farley et al., from reference #28"	#icon-1899-9C27B0-labelson	-76.9194155	38.3062388	Yes
Cabin Creek	1989; Sunila et al 1992	#icon-1899-9C27B0-labelson	-76.2105783	38.9421016	Yes
North Falmouth	1981; Reinisch et al 1983	#icon-1899-9C27B0-labelson	-70.6440553	41.6359753	Yes
Washburn Island	1981; Reinisch et al 1983	#icon-1899-9C27B0-labelson	-70.5372778	41.5611792	Yes
Bennets Neck	1982; Reinisch et al 1983	#icon-1899-9C27B0-labelson	-70.6216821	41.6984609	Yes
"""Tin Bridge"""	1982; Reinisch et al 1983	#icon-1899-9C27B0-labelson	-70.6160021	41.6972986	Yes
Waquoit Bay	1982; Reinisch et al 1983	#icon-1899-9C27B0-labelson	-70.5294985	41.5820733	Yes
Bentick Cove	2001/02; Mateo et al 2015. 	#icon-1899-9C27B0-labelson	-63.8239331	46.4626627	Yes
Baltic River	2001/02; Mateo et al 2015. 	#icon-1899-9C27B0-labelson	-63.6644002	46.5331039	Yes
Mill River	2001/02; Mateo et al 2015.	#icon-1899-9C27B0-labelson	-64.0888612	46.7729036	Yes
West River	2001/02; Mateo et al 2015.	#icon-1899-9C27B0-labelson	-63.265067	46.1910332	Yes
North River (General)	2001/02; Mateo et al 2015.        2005; Delaporte et al 2008.     2006; Siah et al 2011.     Sampling date not mentioned; Siah et al 2012.     2007; Siah et al 2008.      2011; Siah et al 2013.          2001?; Mateo et al 2015           Sampling date not mentioned; AboElkhair et al 2012.	#icon-1899-9C27B0-labelson	-63.0611155	46.2752804	Yes
Milford Point	1988; Brousseau et al 1991	#icon-1899-9C27B0-labelson	-73.1095529	41.1728751	Yes
"46°15'01""N 63°10'42""W PEI"	2008; LeGrand et al 2014. Exact coordinates specified.         2007; AboElkhair et al 2009. Exact coordinates given.	#icon-1899-9C27B0-labelson	-63.17833333	46.25027778	Yes
Little Buttermilk Bay	1991; Weinberg et al 1997.      1986/1987; Leavitt et al 1990	#icon-1899-9C27B0-labelson	-70.6060642	41.7627988	Yes
41°38.0'N 70°55.0'W	"December, year unspecified; Walker et al 2009. Exact coordinates given. but N - N was stated (not real coordinates) instead of what I assume to be N - W."	#icon-1899-9C27B0-labelson	-70.91666667	41.63333333	Yes
"43°48'1.9""N 70°11'12""W Yarmouth"	"2010; Taraska et al 2013. Exact coordinates given, though it is on land. Low neo."	#icon-1899-9C27B0-labelson	-70.18666667	43.80052778	Yes
"43°50'37""N 70°6'6""W Freeport"	2010; Taraska et al 2013. Exact Coordinates Given. 	#icon-1899-9C27B0-labelson	-70.10166667	43.84361111	Yes
"Long Cove, Searsport"	Sampling date not mentioned; Reno et al 1994.   Sampling date not mentioned; Brown et al 1980	#icon-1899-9C27B0-labelson	-68.8923409	44.4645034	Yes
Barnstable Harbor	Sampling date not mentioned; Reno et al 1994.	#icon-1899-9C27B0-labelson	-70.2661323	41.7167761	Yes
Allen Harbor	Sampling date not mentioned; Oprandy et al 1981.                 Sampling date not mentioned; Hetrick et al 1981          1977; Cooper et al 1982	#icon-1899-9C27B0-labelson	-71.4131415	41.6225664	Yes
Ox/Sheep River	2009/2010; Muttray et al 2012.	#icon-1899-9C27B0-labelson	-64.0745989	46.5537895	Yes
Oyster Launch	2009/2010; Muttray et al 2012.	#icon-1899-9C27B0-labelson	-63.7549799	46.3829831	Yes
Glover's Shore	2009/2010; Muttray et al 2012	#icon-1899-9C27B0-labelson	-63.7642046	46.3903492	Yes
Stavert Shore	2009/2010; Muttray et al 2012. 	#icon-1899-9C27B0-labelson	-63.7409895	46.3612477	Yes
"""Tin Can Island"" Marsh Island"	Sampling Date not mentioned; Miosky et al 1988.	#icon-1899-9C27B0-labelson	-70.9162458	41.6501481	Yes
Eastern Bay	1989; McLaughlin et al 1992	#icon-1899-9C27B0-labelson	-76.2826675	38.8703031	Yes
Indian River	2001?; Mateo et al 2015	#icon-1899-9C27B0-labelson	-63.7256401	46.4859363	Yes
Mudflats on the coast of New Hampshire (nonspecific)	2014; Lesser et al 2020	#icon-1899-9C27B0-labelson	-70.7763399	42.9551113	Yes
